gene,is_xlinked,carrier_count_hkgi,sample_size_hkgi,carrier_rate_hkgi,carrier_rate_CI_Lower_hkgi,carrier_rate_CI_Upper_hkgi,sample_size_gnomAD-EAS,sample_size_gnomAD-NFE,sample_size_gnomAD-AFR,carrier_rate_gnomAD-EAS,carrier_rate_gnomAD-NFE,carrier_rate_gnomAD-AFR,acmg_tier_hkgi,acmg_tier_gnomAD-EAS,acmg_tier_gnomAD-NFE,acmg_tier_gnomAD-AFR,tier_hkgi,tier_gnomAD-EAS,tier_gnomAD-NFE,tier_gnomAD-AFR,at_risks_couples_count_hkgi,at_risks_couples_rate_hkgi,actual_at_risks_couples_count_hkgi,actual_at_risks_couples_rate_hkgi
GJB2,False,4045,18065.0,0.22391,0.21783475338930056,0.22999253695113678,22448.0,590031.0,37545.0,0.163669,0.059205,0.017245,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,8178990,0.0501277004577261,148,0.051675977653631286
HBA1/HBA2,False,1738,18065.0,0.09621,0.09190812966791416,0.10050814489616001,22448.0,590031.0,37545.0,0.002331,0.000195,0.000792,tier_1,tier_1,tier_3,tier_3,tier_1,tier_1,tier_3_pop,tier_3_pop,1509453,0.009251192120178168,21,0.007332402234636872
G6PD,True,704,9367.0,0.07516,0.06981837087405238,0.08049656453749882,,,,,,,tier_4,tier_4,tier_4,tier_4,tier_3_xlink,tier_4,tier_4,tier_4,6123392,0.0751574677057756,195,0.06808659217877094
FLG,False,1171,18065.0,0.06482,0.061231135871165826,0.06841182012108438,22448.0,590031.0,37545.0,0.067546,0.102608,0.057922,tier_4,tier_4,tier_4,tier_4,tier_2,tier_2,tier_2,tier_2,685035,0.0041984681828756846,5,0.0017458100558659217
CD36,False,952,18065.0,0.0527,0.049440426300561155,0.055956750560772914,22448.0,590031.0,37545.0,0.053346169,0.000826,0.012333,tier_4,tier_4,tier_4,tier_4,tier_2,tier_2,tier_4,tier_2,452676,0.0027743776349404533,14,0.004888268156424581
DUOX2,False,660,18065.0,0.03653,0.03379883627945063,0.039270635073995266,22448.0,590031.0,37545.0,0.023187,0.011531,0.00916,tier_4,tier_4,tier_4,tier_4,tier_2,tier_2,tier_2,tier_3,217470,0.0013328382867006433,2,0.0006983240223463687
HBB,False,547,18065.0,0.03028,0.02778077157775463,0.032778320589419464,22448.0,590031.0,37545.0,0.015824,0.002969,0.124365,tier_1,tier_1,tier_2,tier_2,tier_1,tier_1,tier_4,tier_2,149331,0.0009152254296744092,2,0.0006983240223463687
SERPINB7,False,519,18065.0,0.02873,0.02629366276310253,0.03116551243756174,22448.0,590031.0,37545.0,0.026284,0.000323,,tier_4,tier_4,tier_4,tier_4,tier_2,tier_2,tier_4,tier_4,134421,0.0008238444628527483,5,0.0017458100558659217
SLC25A13,False,472,18065.0,0.02613,0.02380175169563749,0.028453991454099572,22448.0,590031.0,37545.0,0.016597,0.000946,0.000583,tier_4,tier_4,tier_4,tier_4,tier_2,tier_2,tier_4,tier_4,111156,0.0006812570588885672,1,0.00034916201117318437
ATP7B,False,398,18065.0,0.02203,0.01989105839153263,0.024172047060999895,22448.0,590031.0,37545.0,0.015417,0.014142,0.004484,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_4,79003,0.00048419654740520954,1,0.00034916201117318437
ABCA4,False,367,18065.0,0.02032,0.018258281058520485,0.02237277346680473,22448.0,590031.0,37545.0,0.019674,0.042964,0.044709,tier_4,tier_4,tier_4,tier_4,tier_2,tier_2,tier_2,tier_2,67161,0.0004116188539711312,3,0.001047486033519553
SRD5A2,False,365,18065.0,0.0202,0.018153067050389216,0.022256564834471013,22448.0,590031.0,37545.0,0.016604,0.001676,0.002412,tier_4,tier_4,tier_4,tier_4,tier_2,tier_2,tier_4,tier_4,66430,0.00040713867377350317,0,0.0
GALC,False,362,18065.0,0.02004,0.01799527615842954,0.0220822217657332,22448.0,590031.0,37545.0,0.020941,0.001914,0.001834,tier_4,tier_4,tier_4,tier_4,tier_2,tier_2,tier_4,tier_4,65341,0.0004004643697581585,0,0.0
SLC26A4,False,355,18065.0,0.01965,0.01762724027479548,0.021675278407739806,22448.0,590031.0,37545.0,0.020803,0.012556,0.005549,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_3,62835,0.0003851055030341423,4,0.0013966480446927375
SMN1,False,309,18065.0,0.0171,0.015214110485303318,0.01899568746653726,22448.0,590031.0,37545.0,,,,tier_1,tier_1,tier_1,tier_1,tier_1,tier_1,tier_1,tier_1,47586,0.00029164686030687826,0,0.0
SLC22A5,False,290,18065.0,0.01605,0.014220426385473375,0.017885856481949822,22448.0,590031.0,37545.0,0.011965,0.010527,0.003323,tier_4,tier_4,tier_4,tier_4,tier_2,tier_2,tier_2,tier_4,41905,0.00025682893458495637,1,0.00034916201117318437
PAH,False,252,18065.0,0.01395,0.012239374981193814,0.015659877717394615,22448.0,590031.0,37545.0,0.010435,0.025344,0.006899,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_3,31626,0.00019383061413157928,1,0.00034916201117318437
EYS,False,236,18065.0,0.01306,0.011408125272646862,0.01471974630222167,22448.0,590031.0,37545.0,0.013119,0.005767,0.009404,tier_4,tier_4,tier_4,tier_4,tier_2,tier_2,tier_3,tier_3,27730,0.00016995266331084214,0,0.0
CYP21A2,False,232,18065.0,0.01284,0.011200610740480614,0.01448441555345794,22448.0,590031.0,37545.0,0.020684,0.05747,0.042714,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,26796,0.00016422832910484406,0,0.0
ABCC6,False,221,18065.0,0.01223,0.010630601387903975,0.013836600383477149,22448.0,590031.0,37545.0,0.015076,0.009086,0.009055,tier_4,tier_4,tier_4,tier_4,tier_2,tier_2,tier_3,tier_3,24310,0.00014899203913042094,0,0.0
USH2A,False,207,18065.0,0.01146,0.009906618044414232,0.013010625243711979,22448.0,590031.0,37545.0,0.016236,0.035784,0.013927,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,21321,0.00013067294390373116,0,0.0
ABCG5,False,200,18065.0,0.01107,0.00954529675050006,0.012596967295998695,22448.0,590031.0,37545.0,0.009286,0.000647,0.00053,tier_4,tier_4,tier_4,tier_4,tier_2,tier_3,tier_4,tier_4,19900,0.00012196386584514094,0,0.0
PRKRA,False,181,18065.0,0.01002,0.008567053002633176,0.011471695959448195,22448.0,590031.0,37545.0,0.00314,0.00265,0.001204,tier_4,tier_4,tier_4,tier_4,tier_2,tier_4,tier_4,tier_4,16290,9.983876254358523e-05,0,0.0
ETFDH,False,179,18065.0,0.00991,0.00846430709098731,0.011353019230629076,22448.0,590031.0,37545.0,0.009637,0.002323,0.001593,tier_4,tier_4,tier_4,tier_4,tier_3,tier_3,tier_4,tier_4,15931,9.763850988838896e-05,0,0.0
HOGA1,False,158,18065.0,0.00875,0.007388408998516041,0.010103979598217978,22448.0,590031.0,37545.0,0.004629,0.006056,0.002362,tier_4,tier_4,tier_4,tier_4,tier_3,tier_4,tier_3,tier_4,12403,7.601597126016498e-05,0,0.0
CEP290,False,157,18065.0,0.00869,0.007337319156195883,0.010044358120305638,22448.0,590031.0,37545.0,0.000385,0.007062,0.005884,tier_2,tier_2,tier_2,tier_2,tier_3,tier_4,tier_3,tier_3,12246,7.50537437758591e-05,3,0.001047486033519553
SLC12A3,False,148,18065.0,0.00819,0.006878155687272349,0.00950711970713673,22448.0,590031.0,37545.0,0.013228,0.009977,0.004878,tier_4,tier_4,tier_4,tier_4,tier_3,tier_2,tier_3,tier_4,10878,6.666949410369062e-05,0,0.0
MYO15A,False,139,18065.0,0.00769,0.006420229017571371,0.008968644494745263,22448.0,590031.0,37545.0,0.008106,0.003324,0.00304,tier_4,tier_4,tier_4,tier_4,tier_3,tier_3,tier_4,tier_4,9591,5.8781680267374215e-05,0,0.0
TRIOBP,False,137,18065.0,0.00758,0.006318647307210111,0.008848803564641535,22448.0,590031.0,37545.0,0.000772,0.000854,0.001127,tier_4,tier_4,tier_4,tier_4,tier_3,tier_4,tier_4,tier_4,9316,5.7096249960469e-05,0,0.0
MMUT,False,136,18065.0,0.00753,0.006267882024068448,0.008788857527550703,22448.0,590031.0,37545.0,0.005011,0.002735,0.004542,tier_2,tier_2,tier_2,tier_2,tier_3,tier_3,tier_4,tier_4,9180,5.626272806323588e-05,0,0.0
ACADSB,False,135,18065.0,0.00747,0.006217134037970807,0.008728894193415854,22448.0,590031.0,37545.0,0.00617,0.002264,0.002693,tier_4,tier_4,tier_4,tier_4,tier_3,tier_3,tier_4,tier_4,9045,5.5435335003482407e-05,0,0.0
FMO3,False,135,18065.0,0.00747,0.006217134037970807,0.008728894193415854,22448.0,590031.0,37545.0,0.006181,0.00244,0.000434,tier_3,tier_3,tier_3,tier_3,tier_3,tier_3,tier_4,tier_4,9045,5.5435335003482407e-05,0,0.0
TYR,False,133,18065.0,0.00736,0.006115690724818447,0.008608914866103224,22448.0,590031.0,37545.0,0.007359,0.019874,0.006125,tier_2,tier_2,tier_2,tier_2,tier_3,tier_3,tier_2,tier_3,8778,5.3798935396414435e-05,1,0.00034916201117318437
DNAH11,False,130,18065.0,0.0072,0.00596366037798033,0.00842881125224386,22448.0,590031.0,37545.0,0.0027,0.00347,0.002076,tier_4,tier_4,tier_4,tier_4,tier_3,tier_4,tier_4,tier_4,8385,5.1390302266909894e-05,0,0.0
PEX1,False,130,18065.0,0.0072,0.00596366037798033,0.00842881125224386,22448.0,590031.0,37545.0,0.003852,0.00494,0.00135,tier_4,tier_4,tier_4,tier_4,tier_3,tier_4,tier_4,tier_4,8385,5.1390302266909894e-05,0,0.0
MPZL2,False,127,18065.0,0.00703,0.005811796546447022,0.008248541123079687,22448.0,590031.0,37545.0,0.012722,0.002852,0.000241,tier_4,tier_4,tier_4,tier_4,tier_3,tier_2,tier_4,tier_4,8001,4.903682867472225e-05,1,0.00034916201117318437
DUOXA2,False,117,18065.0,0.00648,0.005306864793442622,0.007646359673759149,22448.0,590031.0,37545.0,0.007335,0.000235,9.7e-05,tier_4,tier_4,tier_4,tier_4,tier_3,tier_3,tier_4,tier_4,6786,4.1590291136941025e-05,0,0.0
WRN,False,113,18065.0,0.00626,0.005105483630559768,0.007404895555712029,22448.0,590031.0,37545.0,0.002698,0.001824,0.001449093,tier_4,tier_4,tier_4,tier_4,tier_3,tier_4,tier_4,tier_4,6328,3.878328357125889e-05,0,0.0
F7,False,111,18065.0,0.00614,0.005004928649379051,0.007284027896427757,22448.0,590031.0,37545.0,0.001928,0.002501,0.001543,tier_4,tier_4,tier_4,tier_4,tier_3,tier_4,tier_4,tier_4,6105,3.741655281329575e-05,0,0.0
LAMA3,False,111,18065.0,0.00614,0.005004928649379051,0.007284027896427757,22448.0,590031.0,37545.0,0.000771,0.000559,0.000241,tier_4,tier_4,tier_4,tier_4,tier_3,tier_4,tier_4,tier_4,6105,3.741655281329575e-05,0,0.0
CAPN3,False,108,18065.0,0.00598,0.004854272561532388,0.00710255002357694,22448.0,590031.0,37545.0,0.005409,0.005794,0.003772,tier_4,tier_4,tier_4,tier_4,tier_3,tier_3,tier_3,tier_4,5778,3.541242295744846e-05,0,0.0
TH,False,108,18065.0,0.00598,0.004854272561532388,0.00710255002357694,22448.0,590031.0,37545.0,0.002328,0.000706,0.000868,tier_4,tier_4,tier_4,tier_4,tier_3,tier_4,tier_4,tier_4,5778,3.541242295744846e-05,0,0.0
OCA2,False,100,18065.0,0.00554,0.0044536220861286415,0.006617509937120736,22448.0,590031.0,37545.0,0.001934,0.015056,0.013981,tier_2,tier_2,tier_2,tier_2,tier_3,tier_4,tier_2,tier_2,4950,3.0337745524293854e-05,0,0.0
SLC25A20,False,97,18065.0,0.00537,0.004303818875550045,0.006435179187001851,22448.0,590031.0,37545.0,0.001157,0.000353,0.001737,tier_4,tier_4,tier_4,tier_4,tier_3,tier_4,tier_4,tier_4,4656,2.853586730527519e-05,0,0.0
AIRE,False,96,18065.0,0.00531,0.004253941142008366,0.006374345600311037,22448.0,590031.0,37545.0,0.004242,0.004442,0.001737,tier_3,tier_3,tier_3,tier_3,tier_3,tier_4,tier_4,tier_4,4560,2.7947498907228276e-05,0,0.0
C6,False,96,18065.0,0.00531,0.004253941142008366,0.006374345600311037,22448.0,590031.0,37545.0,0.001928,0.009057,0.04365,tier_4,tier_4,tier_4,tier_4,tier_3,tier_4,tier_3,tier_2,4560,2.7947498907228276e-05,0,0.0
GCDH,False,96,18065.0,0.00531,0.004253941142008366,0.006374345600311037,22448.0,590031.0,37545.0,0.00541,0.004979,0.005412,tier_4,tier_4,tier_4,tier_4,tier_3,tier_3,tier_4,tier_3,4560,2.7947498907228276e-05,0,0.0
MMACHC,False,95,18065.0,0.00526,0.004204092477393794,0.006313482944693114,22448.0,590031.0,37545.0,0.00501,0.004822,0.002603,tier_3,tier_3,tier_3,tier_3,tier_3,tier_3,tier_4,tier_4,4465,2.7365259346661022e-05,0,0.0
TTLL5,False,95,18065.0,0.00526,0.004204092477393794,0.006313482944693114,22448.0,590031.0,37545.0,0.00578,0.001301,0.00135,tier_4,tier_4,tier_4,tier_4,tier_3,tier_3,tier_4,tier_4,4465,2.7365259346661022e-05,0,0.0
TPO,False,95,18065.0,0.00526,0.004204092477393794,0.006313482944693114,22448.0,590031.0,37545.0,0.003114,0.003442,0.001351,tier_4,tier_4,tier_4,tier_4,tier_3,tier_4,tier_4,tier_4,4465,2.7365259346661022e-05,0,0.0
GAA,False,95,18065.0,0.00526,0.004204092477393794,0.006313482944693114,22448.0,590031.0,37545.0,0.006168,0.01839,0.012155,tier_2,tier_2,tier_2,tier_2,tier_3,tier_3,tier_2,tier_2,4465,2.7365259346661022e-05,0,0.0
PKHD1,False,95,18065.0,0.00526,0.004204092477393794,0.006313482944693114,22448.0,590031.0,37545.0,0.003086,0.007558,0.003624,tier_3,tier_3,tier_3,tier_3,tier_3,tier_4,tier_3,tier_4,4465,2.7365259346661022e-05,0,0.0
SPINK5,False,94,18065.0,0.0052,0.004154273339451421,0.006252590762402993,22448.0,590031.0,37545.0,0.000387,0.001531,0.000871,tier_4,tier_4,tier_4,tier_4,tier_3,tier_4,tier_4,tier_4,4371,2.678914862357342e-05,0,0.0
MEFV,False,93,18065.0,0.00515,0.004104484198120671,0.00619166858350125,22448.0,590031.0,37545.0,0.003851,0.002323,0.00082,tier_4,tier_4,tier_4,tier_4,tier_3,tier_4,tier_4,tier_4,4278,2.6219166737965477e-05,0,0.0
LDLR,False,90,18065.0,0.00498,0.003955301645926395,0.006008717174998044,22448.0,590031.0,37545.0,0.004625,0.002882,0.002896,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,4005,2.4545994106019572e-05,0,0.0
PTS,False,88,18065.0,0.00487,0.0038560058020276062,0.0058865903784318455,22448.0,590031.0,37545.0,0.002326,0.000831,0.000292,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,3828,2.346118987212058e-05,0,0.0
PMM2,False,88,18065.0,0.00487,0.0038560058020276062,0.0058865903784318455,22448.0,590031.0,37545.0,0.005398,0.015229,0.005495,tier_2,tier_2,tier_2,tier_2,tier_4,tier_3,tier_2,tier_3,3828,2.346118987212058e-05,0,0.0
SUN5,False,87,18065.0,0.00482,0.0038064072528959988,0.005825477607330959,22448.0,590031.0,37545.0,0.003472,2.9e-05,,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,3741,2.2927981011390566e-05,0,0.0
AGT,False,86,18065.0,0.00476,0.0037568423730550944,0.0057643311669393705,22448.0,590031.0,37545.0,0.001158,,0.000482,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,3655,2.2400900988140208e-05,0,0.0
F11,False,86,18065.0,0.00476,0.0037568423730550944,0.0057643311669393705,,,,,,,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,3655,2.2400900988140208e-05,0,0.0
ST3GAL5,False,86,18065.0,0.00476,0.0037568423730550944,0.0057643311669393705,22448.0,590031.0,37545.0,0.003474,0.00047,0.000482,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,3655,2.2400900988140208e-05,0,0.0
TGM1,False,84,18065.0,0.00465,0.0036578159830550727,0.0056419349164744045,22448.0,590031.0,37545.0,0.00348,0.004118,0.003234,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,3486,2.136512745407846e-05,0,0.0
ALPL,False,84,18065.0,0.00465,0.0036578159830550727,0.0056419349164744045,22448.0,590031.0,37545.0,0.008492,0.00547,0.001496,tier_3,tier_3,tier_3,tier_3,tier_4,tier_3,tier_3,tier_4,3486,2.136512745407846e-05,0,0.0
TSHR,False,83,18065.0,0.00459,0.0036083556977091263,0.005580683881587857,22448.0,590031.0,37545.0,0.004647,0.001646,0.000531,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,3403,2.0856433943267067e-05,0,0.0
G6PC1,False,83,18065.0,0.00459,0.0036083556977091263,0.005580683881587857,22448.0,590031.0,37545.0,0.002699,0.003264,0.000868,tier_2,tier_2,tier_2,tier_2,tier_4,tier_4,tier_4,tier_4,3403,2.0856433943267067e-05,0,0.0
TTN,False,82,18065.0,0.00454,0.0035589315327628395,0.005519396726301649,22448.0,590031.0,37545.0,0.001172,0.004207,0.002221,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,3321,2.035386926993533e-05,1,0.00034916201117318437
CLCN1,False,80,18065.0,0.00443,0.0034601942233652874,0.005396711395234214,22448.0,590031.0,37545.0,0.001542,0.010821,0.002172,tier_3,tier_3,tier_3,tier_3,tier_4,tier_4,tier_2,tier_4,3160,1.9367126435710825e-05,0,0.0
TMEM107,False,79,18065.0,0.00437,0.003410882460476445,0.005335311837890564,22448.0,590031.0,37545.0,0.00077,0.000118,9.7e-05,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,3081,1.8882948274818054e-05,0,0.0
AGXT,False,79,18065.0,0.00437,0.003410882460476445,0.005335311837890564,22448.0,590031.0,37545.0,0.003481,0.004909,0.005207,tier_3,tier_3,tier_3,tier_3,tier_4,tier_4,tier_4,tier_3,3081,1.8882948274818054e-05,1,0.00034916201117318437
KLHL40,False,79,18065.0,0.00437,0.003410882460476445,0.005335311837890564,22448.0,590031.0,37545.0,0.001925,0.000265,0.000145,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,3081,1.8882948274818054e-05,0,0.0
RPGRIP1L,False,79,18065.0,0.00437,0.003410882460476445,0.005335311837890564,22448.0,590031.0,37545.0,0.006248,0.001294,0.002076,tier_4,tier_4,tier_4,tier_4,tier_4,tier_3,tier_4,tier_4,3081,1.8882948274818054e-05,0,0.0
LPL,False,77,18065.0,0.00426,0.003312376337730855,0.005212395320171165,22448.0,590031.0,37545.0,0.006943,0.001205,0.000724,tier_4,tier_4,tier_4,tier_4,tier_4,tier_3,tier_4,tier_4,2926,1.7932978465471478e-05,0,0.0
MYO7A,False,77,18065.0,0.00426,0.003312376337730855,0.005212395320171165,22448.0,590031.0,37545.0,0.002318,0.00444,0.003522,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,2926,1.7932978465471478e-05,0,0.0
FANCA,False,76,18065.0,0.00421,0.0032631834960508235,0.005150876841618704,22448.0,590031.0,37545.0,0.001541,0.004057,0.002991,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,2850,1.7467186817017674e-05,0,0.0
ACAD8,False,76,18065.0,0.00421,0.0032631834960508235,0.005150876841618704,22448.0,590031.0,37545.0,0.001931,0.000764,0.000386,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,2850,1.7467186817017674e-05,0,0.0
HLCS,False,75,18065.0,0.00415,0.003214031854591357,0.005089317162845676,22448.0,590031.0,37545.0,0.002311,0.000618,0.000676,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,2775,1.7007524006043524e-05,0,0.0
HFE,False,72,18065.0,0.00399,0.0030668325053326935,0.004904382551406857,22448.0,590031.0,37545.0,0.003474,0.000294,4.8e-05,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,2556,1.566530859799901e-05,0,0.0
CFTR,False,70,18065.0,0.00387,0.002968921470989073,0.004780870945285492,22448.0,590031.0,37545.0,0.004627,0.044078,0.017887,tier_1,tier_1,tier_1,tier_1,tier_1,tier_1,tier_1,tier_1,2415,1.4801142513367607e-05,1,0.00034916201117318437
CYP27A1,False,70,18065.0,0.00387,0.002968921470989073,0.004780870945285492,22448.0,590031.0,37545.0,0.007329,0.002675,0.00265,tier_3,tier_3,tier_3,tier_3,tier_4,tier_3,tier_4,tier_4,2415,1.4801142513367607e-05,0,0.0
VWF,False,69,18065.0,0.00382,0.002920035345010894,0.0047190457510311755,22448.0,590031.0,37545.0,0.005403,0.015698,0.004721,tier_4,tier_4,tier_4,tier_4,tier_4,tier_3,tier_2,tier_4,2346,1.437825272727139e-05,0,0.0
UGT1A1,False,69,18065.0,0.00382,0.002920035345010894,0.0047190457510311755,22448.0,590031.0,37545.0,0.005414,0.000853,0.000965,tier_4,tier_4,tier_4,tier_4,tier_4,tier_3,tier_4,tier_4,2346,1.437825272727139e-05,0,0.0
BCKDHB,False,67,18065.0,0.00371,0.0028224069399287823,0.0045952515156483,22448.0,590031.0,37545.0,0.000385,0.001912,0.000917,tier_2,tier_2,tier_2,tier_2,tier_4,tier_4,tier_4,tier_4,2211,1.3550859667517921e-05,0,0.0
RMRP,False,65,18065.0,0.0036,0.002724977528365945,0.00447125828674615,22448.0,590031.0,37545.0,0.002697,0.005528,0.003554,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_3,tier_4,2080,1.2747981957683074e-05,0,0.0
CRB1,False,65,18065.0,0.0036,0.002724977528365945,0.00447125828674615,22448.0,590031.0,37545.0,0.002695,0.005851,0.008527,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_3,tier_3,2080,1.2747981957683074e-05,0,0.0
IGHMBP2,False,64,18065.0,0.00354,0.002676340299630508,0.004409184195249094,22448.0,590031.0,37545.0,0.003087,0.002675,0.00053,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,2016,1.2355736358985132e-05,0,0.0
CC2D2A,False,64,18065.0,0.00354,0.002676340299630508,0.004409184195249094,22448.0,590031.0,37545.0,0.002307,0.003322,0.002652,tier_3,tier_3,tier_3,tier_3,tier_4,tier_4,tier_4,tier_4,2016,1.2355736358985132e-05,0,0.0
NEB,False,64,18065.0,0.00354,0.002676340299630508,0.004409184195249094,22448.0,590031.0,37545.0,0.004246,0.004003,0.002704,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,2016,1.2355736358985132e-05,0,0.0
COX20,False,64,18065.0,0.00354,0.002676340299630508,0.004409184195249094,22448.0,590031.0,37545.0,0.00077,0.002178,0.000581,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,2016,1.2355736358985132e-05,0,0.0
SUOX,False,63,18065.0,0.00349,0.0026277563338393617,0.004347056840807746,22448.0,590031.0,37545.0,0.002308,0.000176,0.000337,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,1953,1.1969619597766848e-05,0,0.0
AKR1D1,False,61,18065.0,0.00338,0.002530753317519976,0.004222637216662144,22448.0,590031.0,37545.0,0.001925,0.000294,0.000145,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,1830,1.1215772587769242e-05,0,0.0
DDC,False,60,18065.0,0.00332,0.0024823369615063788,0.004160342252443248,22448.0,590031.0,37545.0,0.003863,0.0005,0.000386,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,1770,1.0848042338989924e-05,0,0.0
SCARF2,False,60,18065.0,0.00332,0.0024823369615063788,0.004160342252443248,22448.0,590031.0,37545.0,0.002822,,0.000264,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,1770,1.0848042338989924e-05,0,0.0
SLC40A1,False,60,18065.0,0.00332,0.0024823369615063788,0.004160342252443248,,,,,,,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,1770,1.0848042338989924e-05,0,0.0
ACADS,False,60,18065.0,0.00332,0.0024823369615063788,0.004160342252443248,22448.0,590031.0,37545.0,0.003483,0.002676,0.016557,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_2,1770,1.0848042338989924e-05,0,0.0
HMGCS2,False,60,18065.0,0.00332,0.0024823369615063788,0.004160342252443248,22448.0,590031.0,37545.0,0.002312,0.001382,0.001786,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,1770,1.0848042338989924e-05,0,0.0
CNGA3,False,58,18065.0,0.00321,0.002385681716587645,0.004035574856896994,22448.0,590031.0,37545.0,0.003471,0.004616,0.004529,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,1653,1.0130968353870251e-05,0,0.0
MCCC1,False,58,18065.0,0.00321,0.002385681716587645,0.004035574856896994,22448.0,590031.0,37545.0,0.004231,0.001793,0.002167,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,1653,1.0130968353870251e-05,0,0.0
ASL,False,57,18065.0,0.00316,0.002337445877822889,0.003973099375429255,22448.0,590031.0,37545.0,0.002709,0.007969,0.002699,tier_3,tier_3,tier_3,tier_3,tier_4,tier_4,tier_3,tier_4,1596,9.781624617529897e-06,0,0.0
DYSF,False,57,18065.0,0.00316,0.002337445877822889,0.003973099375429255,22448.0,590031.0,37545.0,0.003861,0.002767,0.005261,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_3,1596,9.781624617529897e-06,0,0.0
COLQ,False,57,18065.0,0.00316,0.002337445877822889,0.003973099375429255,22448.0,590031.0,37545.0,0.001159,0.000676,0.00029,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,1596,9.781624617529897e-06,0,0.0
TMPRSS3,False,56,18065.0,0.0031,0.0022892733732443374,0.003910560559775313,22448.0,590031.0,37545.0,0.002313,0.010702,0.002744,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_2,tier_4,1540,9.4384097186692e-06,0,0.0
AHI1,False,56,18065.0,0.0031,0.0022892733732443374,0.003910560559775313,22448.0,590031.0,37545.0,0.003089,0.001884,0.001063,tier_2,tier_2,tier_2,tier_2,tier_4,tier_4,tier_4,tier_4,1540,9.4384097186692e-06,0,0.0
SKIC3,False,56,18065.0,0.0031,0.0022892733732443374,0.003910560559775313,22448.0,590031.0,37545.0,0.000386,0.000323,0.000241,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,1540,9.4384097186692e-06,0,0.0
CPLANE1,False,54,18065.0,0.00299,0.0021931252394211554,0.0037852860531335086,22448.0,590031.0,37545.0,0.001929,0.004411,0.003569,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,1431,8.77036643338677e-06,0,0.0
COQ4,False,54,18065.0,0.00299,0.0021931252394211554,0.0037852860531335086,22448.0,590031.0,37545.0,0.001927,0.000706,0.000338,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,1431,8.77036643338677e-06,0,0.0
SLC37A4,False,54,18065.0,0.00299,0.0021931252394211554,0.0037852860531335086,22448.0,590031.0,37545.0,0.001161,0.001676,0.000385,tier_3,tier_3,tier_3,tier_3,tier_4,tier_4,tier_4,tier_4,1431,8.77036643338677e-06,0,0.0
