Gene	MOI	Related_Disease	CHI_HKGI	KOR_Korea	EUR_Iceland	AFR_AoU
SCN5A	AD	Cardiovascular	0.00470949	0.00066916	0.00010000	0.00087348
LDLR	AD	Cardiovascular	0.00405235	0.00160600	0.00140000	0.00288247
DSG2	AD	Cardiovascular	0.00235475	0.00093683	0.00009000	
APOB	AD	Cardiovascular	0.00213570	0.00133833	0.00005000	0.00017470
PKP2	AD	Cardiovascular	0.00098571	0.00040150	0.00238000	0.00144124
TTN	AD	Cardiovascular	0.00449044	0.00655782	0.00117000	
